ENSEMBL,SYMBOL,DMSO,ITRA,FDR,AveExpr,P value,SRR7108396,SRR7108397,SRR7108398,SRR7108399,SRR7108400,SRR7108401,SRR7108402,SRR7108403,SRR7108396 CPM,SRR7108397 CPM,SRR7108398 CPM,SRR7108399 CPM,SRR7108400 CPM,SRR7108401 CPM,SRR7108402 CPM,SRR7108403 CPM
ENSG00000105974,CAV1,0,1.19758566971431,5.76745171270577e-7,2.50605548509466,6.26567019264319e-8,41.999999,50,36,49.999999,67,78.999999,88,75.999999,3.432,4.852,3.228,3.923,5.597,7.787,8.427,6.829
ENSG00000250714,NA,0,-1.95582351711967,5.77075133117451e-7,1.46708485190029,6.27024728883013e-8,58.350611,30.935684,42.256524,70.21024,9.40546,15.072165,8.172956,5.936909,4.768,3.002,3.789,5.509,0.786,1.486,0.783,0.533
ENSG00000166961,MS4A15,0,-2.55788280603428,5.79440881024398e-7,0.19640375693931,6.29894200724924e-8,15,19,30,15,4,2,3,1,1.226,1.844,2.690,1.177,0.334,0.197,0.287,0.090
ENSG00000204335,SP5,0,-1.50710358438114,5.88061324617939e-7,1.72475743761254,6.39467514327348e-8,57,38.979329,61,72,16,10,17,18,4.657,3.782,5.469,5.650,1.337,0.986,1.628,1.617
ENSG00000127423,AUNIP,0,1.0262448753966,5.91397843475935e-7,2.9703903190226,6.43299114311192e-8,69.307138,67.181178,65.446399,64.357483,91.452888,125.333126,87.382776,108.094647,5.663,6.519,5.868,5.050,7.639,12.355,8.367,9.713
ENSG00000198885,ITPRIPL1,0,-1.6275347389013,6.07664262085367e-7,1.80485314452129,6.61620108219248e-8,60.376482,51.848619,83.503952,50.101035,20.0656,13.000001,9.900331,18.297809,4.933,5.031,7.487,3.931,1.676,1.281,0.948,1.644
ENSG00000269693,NA,0,-2.2510830986312,6.18547602510858e-7,1.89036336945192,6.73895310490015e-8,83.721816,46.568587,64.46543,90.29103,11.739884,14.969881,0,18.513421,6.841,4.519,5.780,7.085,0.981,1.476,0.000,1.663
ENSG00000163141,BNIPL,0,2.39352482409305,6.27999788049535e-7,-0.00745063485786305,6.84517284925783e-8,3.335879,3.051329,2.010587,6.04254,14.857716,11.068608,23.145008,10.2054,0.273,0.296,0.180,0.474,1.241,1.091,2.216,0.917
ENSG00000135976,ANKRD36,0,-1.17036492067803,6.34448770816555e-7,2.55193528869095,6.91764872990345e-8,80.225003,113.129128,99.460089,98.873846,35.756769,26.402131,33.009101,38.840862,6.555,10.977,8.918,7.758,2.987,2.603,3.161,3.490
ENSG00000137561,TTPA,0,-2.61391021674077,6.37283740086179e-7,0.0134514546424598,6.94965552115579e-8,13.030935,10.016383,24,21.359998,2.00901,3,2.134948,1.00308,1.065,0.972,2.152,1.676,0.168,0.296,0.204,0.090
ENSG00000284337,LIMS3-LOC440895,0,-6.01864512930053,6.49891533400782e-7,0.166400310458207,7.09161569716058e-8,0.118264,22.841583,32.509726,31.012466,0,0,0,0.607861,0.010,2.216,2.915,2.433,0.000,0.000,0.000,0.055
