ENSEMBL,SYMBOL,DMSO,ITRA,FDR,AveExpr,P value,SRR7108388,SRR7108389,SRR7108390,SRR7108391,SRR7108392,SRR7108393,SRR7108394,SRR7108395,SRR7108388 CPM,SRR7108389 CPM,SRR7108390 CPM,SRR7108391 CPM,SRR7108392 CPM,SRR7108393 CPM,SRR7108394 CPM,SRR7108395 CPM
ENSG00000166311,SMPD1,0,1.32293425612171,4.50571887221148e-13,4.65512201738289,3.3010064828144e-15,166.000001,151.999999,157,158,256,329.000001,519.000001,442,15.751,13.778,14.607,16.179,23.392,28.728,41.474,42.995
ENSG00000068366,ACSL4,0,1.68247901106207,4.61293486891752e-13,3.12396287076197,3.38748893154897e-15,55.000001,38,48,39,99.999999,127.000001,188,148.999999,5.219,3.444,4.466,3.994,9.137,11.090,15.023,14.494
ENSG00000150457,LATS2,0,1.56193866540312,4.6823620006197e-13,6.14596995662744,3.44652507655637e-15,413,419,403,354,1178,1451,709,1084,39.187,37.979,37.495,36.249,107.638,126.702,56.657,105.445
ENSG00000167705,RILP,0,1.73921831197415,6.73792985771037e-13,2.61928056403027,5.01749639429135e-15,27.000001,33,26,36,100,100,106.000001,88.999999,2.562,2.991,2.419,3.686,9.137,8.732,8.471,8.657
ENSG00000232164,LINC01873,0,-1.4813247796462,8.13011880083291e-13,3.69520374014088,6.09615594469731e-15,192.808849,232.987986,195.394141,210.641827,93.589615,43.099464,87.1346,65.035351,18.294,21.119,18.179,21.569,8.552,3.763,6.963,6.326
ENSG00000136527,TRA2B,0,-1.11624512475831,1.25364997143246e-12,6.62400310198562,9.5079649406111e-15,1497.06858,1554.007055,1587.075955,1343.032065,586.00901,498.161242,1089.041687,553.010577,142.046,140.860,147.661,137.523,53.546,43.500,87.026,53.793
ENSG00000103485,QPRT,0,1.17988047928046,1.26277059008945e-12,8.13427060999671,9.59885464116009e-15,1949.707882,1989.749397,2049.15793,1652.838178,3607.466059,4496.592201,4796.391046,3816.921405,184.994,180.357,190.653,169.247,329.628,392.645,383.284,371.286
ENSG00000057704,TMCC3,0,1.86939962256574,1.5283673098538e-12,2.39499437361308,1.16703370006206e-14,24.02235,25,26.039678,22.161296,85.745457,93.237743,82.174455,81.202612,2.279,2.266,2.423,2.269,7.835,8.142,6.567,7.899
ENSG00000172183,ISG20,0,1.65048463235732,2.03855361344655e-12,2.83853561001213,1.56361447984791e-14,42.012464,41.001583,40,27.009496,100.034409,90.015174,151.119935,117.043573,3.986,3.717,3.722,2.766,9.141,7.860,12.076,11.385
ENSG00000242960,NA,0,2.17245516248218,2.03855361344655e-12,2.77968302443636,1.56199157360482e-14,36.697173,18.811196,28.0016,24.607595,97.998472,149.438622,95.092014,124.341524,3.482,1.705,2.605,2.520,8.954,13.049,7.599,12.095
ENSG00000095203,EPB41L4B,0,1.00411307525199,2.41519998815098e-12,8.98782749169408,1.85666396323712e-14,3879,4015,3750,3353,5959,5979,9474,7823,368.050,363.931,348.898,343.339,544.497,522.089,757.075,760.972
ENSG00000130600,H19,0,-1.14269073822504,2.91038478532389e-12,9.13223868863294,2.25735384143821e-14,8434.151552,8479.50459,8961.727051,8330.711152,2932.472189,3005.906179,5934.147708,3438.913321,800.256,768.607,833.795,853.045,267.951,262.477,474.203,334.516
ENSG00000256537,SMIM10L1,0,-1.02201674943785,2.91317729513028e-12,4.89356047774967,2.26452979070096e-14,432.521007,494.734337,441.200624,388.916959,249.566643,208.836755,214.224907,160.095994,41.039,44.844,41.049,39.824,22.804,18.236,17.119,15.573
ENSG00000130600,LOC102724852,0,-1.14269084966018,2.92700192364547e-12,9.13223868863294,2.28031002702014e-14,8434.151552,8479.50459,8961.727051,8330.711152,2932.472189,3005.906179,5934.147708,3438.913321,800.256,768.607,833.795,853.045,267.951,262.477,474.203,334.516
ENSG00000154153,RETREG1,0,1.25206980884383,2.99432946424104e-12,4.50193700530154,2.33791180416089e-14,172,171.657897,121,127,319.999999,391,297,336.789496,16.320,15.560,11.258,13.004,29.240,34.142,23.734,32.761
ENSG00000067113,PLPP1,0,1.39572835654963,3.25092360129936e-12,3.51345698156071,2.55502792198016e-14,78.500579,76.918624,63.724949,56.165502,148.967446,135.95718,252.669487,170.544556,7.448,6.972,5.929,5.751,13.612,11.872,20.191,16.589
ENSG00000170385,SLC30A1,0,1.54591474741463,3.31055555748662e-12,8.2693949712427,2.60758843161104e-14,1787,1887,1743,1572,4486,5466,3764,5601,169.556,171.043,162.168,160.969,409.903,477.294,300.784,544.830
ENSG00000254166,PCAT2,0,-1.0827986044011,4.10847315602585e-12,5.1328202887796,3.26433796770933e-14,494.691381,557.802061,539.851371,509.610817,232.274923,187.213525,371.857256,184.982726,46.938,50.561,50.228,52.183,21.224,16.348,29.715,17.994
ENSG00000182352,CD300LD-AS1,0,1.25228588875375,4.11421592506077e-12,4.16191400515443,3.27597635871693e-14,126.648081,132.65344,113.218328,93.903916,239.279907,187.407169,372.520798,283.139922,12.017,12.024,10.534,9.616,21.864,16.364,29.768,27.542
ENSG00000198643,FAM3D,0,1.79920418450209,4.21675360056706e-12,2.97540798149085,3.36487466363375e-14,37,43,29,43.000001,108.999999,89,171.000001,148,3.511,3.898,2.698,4.403,9.960,7.772,13.665,14.396
ENSG00000167074,TEF,0,1.02481583238816,4.48656445285633e-12,4.2786803598948,3.58789356386089e-14,148.999999,138,137.999999,137,258,309.999999,285,250,14.138,12.509,12.839,14.028,23.574,27.069,22.775,24.318
ENSG00000143217,NECTIN4,0,1.23831084900629,4.53685929546092e-12,4.38805680120585,3.63591661080501e-14,135,138,148.743959,127,210,281,410.044069,358,12.809,12.509,13.839,13.004,19.189,24.537,32.767,34.824
ENSG00000099904,ZDHHC8,0,1.28248313247059,4.64440508305684e-12,3.45573094711536,3.73009299497402e-14,67.999999,72.696978,74,64.753718,150.690197,132,194.575466,180.999999,6.452,6.589,6.885,6.631,13.769,11.526,15.549,17.607
ENSG00000154917,RAB6B,0,2.22481084578656,4.8727214051695e-12,2.41848552259375,3.92184225775934e-14,17.15173,18.316479,26.327975,19.51346,92.586705,102.321815,68.666947,99.527415,1.627,1.660,2.450,1.998,8.460,8.935,5.487,9.681
ENSG00000141034,GID4,0,1.25544100441461,6.06181707751366e-12,5.40878512583432,4.92059377196837e-14,260,298,270.728076,279.434521,687.535766,746.032764,484.014063,599.034253,24.670,27.012,25.188,28.613,62.823,65.144,38.678,58.270
ENSG00000170827,CELP,0,-1.18367691866847,6.64866287675019e-12,5.41098253625342,5.41982596450305e-14,630.280862,678.863486,652.070745,644.321639,280.565525,238.189701,438.233833,175.987514,59.803,61.534,60.668,65.977,25.636,20.799,35.020,17.119
ENSG00000250786,SNHG18,0,1.23398573714957,6.65927227007728e-12,3.86569735657702,5.43992695803172e-14,83,89,109,100,215,215,202,229,7.875,8.067,10.141,10.240,19.645,18.774,16.142,22.276
ENSG00000198246,SLC29A3,0,1.76903290488607,7.46583057109044e-12,3.56431799529113,6.12447965055831e-14,56,56,61,62,197,268,140.000001,158.999999,5.313,5.076,5.675,6.349,18.001,23.402,11.188,15.467
ENSG00000129757,CDKN1C,0,1.14054492997628,9.07896842823994e-12,3.5103591084432,7.52586166511024e-14,83.000001,74,86,68,156,157,198.956631,153,7.875,6.708,8.001,6.963,14.254,13.709,15.899,14.883
ENSG00000132510,KDM6B,0,1.23393867310895,9.98963635504181e-12,4.37477487708706,8.29792484476446e-14,134.999999,151.000001,136.999999,123.000001,286.999999,351,251.249701,333,12.809,13.687,12.746,12.595,26.224,30.649,20.078,32.392
ENSG00000011638,LDAF1,0,1.45286042649451,1.01960162367272e-11,5.20617863819427,8.50442477653648e-14,201.099482,258.967624,194.8115,218.79221,606.127248,749.99995,411.611448,501.202575,19.081,23.474,18.125,22.404,55.384,65.490,32.892,48.754
ENSG00000008256,CYTH3,0,1.21978523129598,1.12263728015686e-11,5.27085961161798,9.42175852093056e-14,283,272.000001,241.999999,228.999999,597,698,457,522,26.852,24.655,22.516,23.449,54.550,60.950,36.519,50.777
ENSG00000259884,NR4A1AS,0,2.77163543308136,1.19754199271747e-11,2.81334567934016,1.00709930768371e-13,18.595124,27.985827,15.88019,16.341091,145.253753,183.709087,57.474572,118.274673,1.764,2.537,1.477,1.673,13.272,16.042,4.593,11.505
ENSG00000203812,H2AC18,0,2.26002374680599,1.24579497519095e-11,4.11847100217181,1.05410619257046e-13,92.92269,33.181792,80.076008,57.444357,345.541723,426.520346,188.217456,239.483928,8.817,3.008,7.450,5.882,31.573,37.244,15.041,23.295
ENSG00000126705,AHDC1,0,1.16861640939857,1.26014758365518e-11,4.67521329635952,1.06941171421952e-13,183,168.009112,193.999999,149,299,284,504,431,17.364,15.229,18.050,15.257,27.321,24.799,40.275,41.925
ENSG00000101935,AMMECR1,0,-1.02591657258555,1.29910474640067e-11,4.76019864240043,1.10814995479515e-13,378,462,396.116336,366.999999,191,141,275,162,35.866,41.877,36.854,37.580,17.452,12.312,21.975,15.758
ENSG00000070669,ASNS,0,-1.12658254440696,1.4791848933939e-11,8.44528957772406,1.26430407762528e-13,5119.921447,5640.229348,5363.320321,5069.703608,2454.546429,2031.006679,3188.295368,1821.750661,485.793,511.247,499.001,519.126,224.281,177.348,254.779,177.208
ENSG00000186141,POLR3C,0,-1.14840425756877,1.50307535337098e-11,4.89990111733789,1.2873089342163e-13,451.085529,493.465444,457.000001,413,206.999999,130,303.000001,163.435081,42.800,44.729,42.519,42.290,18.914,11.352,24.213,15.898
